1 :  0 [0]

2 :  11 [1, 10]

3 :  33 [2, 11, 20]

4 :  66 [3, 12, 21, 30]

5 :  110 [4, 13, 22, 31, 40]

6 :  165 [5, 14, 23, 32, 41, 50]

7 :  231 [6, 15, 24, 33, 42, 51, 60]

8 :  308 [7, 16, 25, 34, 43, 52, 61, 70]

9 :  396 [8, 17, 26, 35, 44, 53, 62, 71, 80]

10 :  495 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90]

11 :  603 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108]

12 :  720 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117]

13 :  846 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126]

14 :  981 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135]

15 :  1125 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144]

16 :  1278 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153]

17 :  1440 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162]

18 :  1611 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171]

19 :  1791 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180]

20 :  1998 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207]

21 :  2214 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216]

22 :  2439 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225]

23 :  2673 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234]

24 :  2916 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243]

25 :  3168 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243, 252]

26 :  3429 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243, 252, 261]

27 :  3699 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243, 252, 261, 270]

28 :  4005 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243, 252, 261, 270, 306]

29 :  4320 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243, 252, 261, 270, 306, 315]

30 :  4644 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243, 252, 261, 270, 306, 315, 324]

31 :  4977 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243, 252, 261, 270, 306, 315, 324, 333]

32 :  5319 [9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 108, 117, 126, 135, 144, 153, 162, 171, 180, 207, 216, 225, 234, 243, 252, 261, 270, 306, 315, 324, 333, 342]

